egid;eingang_koordinaten
449948;47.55105649849666, 7.562059446263381
449950;47.551006378611866, 7.561784857578962
449953;47.552114908688445, 7.564885030450814
449954;47.552103256980864, 7.564781367663456
449955;47.55209145313386, 7.564676920756041
449956;47.55207918943749, 7.564573469177369
449957;47.55206000493929, 7.564399126632702
449964;47.551966498180946, 7.5635690959830875
449970;47.55179313797402, 7.562138091511033
449971;47.551781725428754, 7.562035573004576
449972;47.55176661284174, 7.561902331587709
449977;47.55175272264219, 7.560673603311244
449979;47.55188385076737, 7.560157030145113
449983;47.55213850013673, 7.559150242808594
449985;47.54755194316683, 7.559832751542984
449993;47.55729373814252, 7.573910197579254
450000;47.55739292678246, 7.572525442210731
450002;47.55735409619574, 7.572294231706468
450004;47.55734724826428, 7.572156104678104
450005;47.557342140764725, 7.57205309741518
450009;47.55732463855586, 7.5716991231708315
450010;47.55734607380917, 7.571577993229811
450011;47.55575800638463, 7.574712691780717
450013;47.55587293372118, 7.574175094771039
450025;47.5566233076897, 7.571627997858788
450026;47.55656807761446, 7.571050477861196
450027;47.55671569398569, 7.571467759064529
450030;47.556880505121626, 7.571182199255664
450037;47.55722559527066, 7.569115144597753
450041;47.5558435017151, 7.575027610444699
450049;47.55653332528375, 7.572907785392515
450049;47.55632502892101, 7.572776236302007
450050;47.55642697655114, 7.572428466530257
450052;47.5565259013537, 7.572190616081375
450054;47.556650279638305, 7.571974869722252
450058;47.556891564883884, 7.571555924021007
450062;47.55722093488237, 7.571341188461756
450063;47.557097302634624, 7.570105962965274
450064;47.5559986533461, 7.571607577882622
450065;47.55604773446711, 7.57147923898585
450067;47.55613075391402, 7.571124858409728
450070;47.55606377035616, 7.569497785170397
450073;47.556035420484925, 7.568904542124486
450074;47.55612076671519, 7.571728969141703
450077;47.556234971031124, 7.57142741095527
450079;47.556303658495125, 7.571219776436296
450080;47.55632631251721, 7.571038692250059
450082;47.55627683459612, 7.569943597511268
450083;47.556270603006084, 7.569814735392554
450084;47.556265708136586, 7.569712740700644
450085;47.55625965288304, 7.56958680196948
450089;47.556237516833484, 7.569139530815358
450090;47.55452391229972, 7.5754895271052
450092;47.55440672486536, 7.574812545883565
450093;47.55431480566565, 7.574282754543113
450097;47.554461326558204, 7.573106578972608
450102;47.55464158289591, 7.575293070011553
450103;47.554529950769705, 7.574656091158538
450106;47.55473720063593, 7.574271524114602
450108;47.55452280388951, 7.573429384782116
450111;47.55461696363369, 7.572598149033171
450112;47.55465173750614, 7.572484910767486
450114;47.55484794127207, 7.571859559161412
450117;47.555032493018345, 7.571243646675432
450121;47.555133960979916, 7.570910375878129
450122;47.55515894854846, 7.570828412176909
450124;47.55524362272426, 7.570551960993289
450125;47.55479320900026, 7.572547587509335
450130;47.55530181397844, 7.569824594388942
