egid;eingang_koordinaten
243058452;47.551722292352544, 7.603208679656064
243058454;47.55155263262524, 7.603292514781833
243058457;47.55183037249978, 7.603347095202838
243058457;47.55168784091853, 7.603333370670029
243058457;47.551648276089296, 7.60332793470299
243058463;47.5721789155151, 7.576922959295811
243058481;47.58523518150698, 7.669984247899424
243058491;47.56201442484395, 7.575759415716478
243058497;47.54110533097658, 7.616254077248128
243058498;47.54123363771491, 7.616158872620068
243058502;47.542004403457696, 7.615953620425613
243058503;47.54194806591579, 7.615652534982329
243058505;47.541837137273646, 7.615261255164527
243058511;47.56482284611509, 7.619230145849253
243058512;47.56466293532552, 7.6194056709332365
243058513;47.56456618634285, 7.619448529110214
243058520;47.59053573151692, 7.652708798179816
243058521;47.56895203568454, 7.5978976257187005
243058528;47.56931869967621, 7.598410127691743
243058531;47.54257654918109, 7.599173745632157
243058535;47.56849992034126, 7.644920677059996
243058536;47.56863811095202, 7.570250922310678
243058540;47.58020255968772, 7.646143188383549
243058541;47.5543986682739, 7.589870946397042
243058542;47.56772552714538, 7.562817839933719
243058542;47.568326676867315, 7.561907615278363
243058542;47.568427570024895, 7.561752367058647
243058542;47.56852666143781, 7.561599771902525
243058571;47.5421366717779, 7.592890491970068
243058579;47.57268365061271, 7.608878316706446
243058582;47.58862877542582, 7.662932851558287
243058588;47.579030460538604, 7.6450852751335425
243058597;47.58045317976259, 7.5900524226828505
243058601;47.570404267890886, 7.616212146667358
243058602;47.550329839670916, 7.605587243803932
243058604;47.53758346711853, 7.6087763545003115
243058606;47.53361493544019, 7.598216661196473
243058607;47.54912413433442, 7.579495824894869
243058615;47.586722227673164, 7.593795059122376
243058617;47.58680807499762, 7.593826548602171
243058623;47.58654851890196, 7.594231245824802
243058629;47.58663951460819, 7.594448195671555
243058634;47.58666268291164, 7.594609115104015
243058638;47.58359461505197, 7.599977738209057
243058642;47.58229466310686, 7.600406476702267
243058646;47.58155136182694, 7.599739610409322
243058653;47.58002332184104, 7.599100310283322
243058657;47.57638343904153, 7.586987947009518
243058661;47.523640558126324, 7.5958296001354055
243058662;47.5324632682371, 7.6066252840828765
243058666;47.59003221571164, 7.6747137150135805
243058669;47.5884509950368, 7.653426978721912
243058672;47.58889656045055, 7.654194516436734
243058675;47.589407474934646, 7.653910757405
243058677;47.588894945337785, 7.653608903940035
243058679;47.55543902560731, 7.575512011501063
243058681;47.57394217950028, 7.574674451609038
243058695;47.54622298598061, 7.612972890471375
243058698;47.5394986994121, 7.6120113134419185
243058700;47.54534506780033, 7.592256519219145
243058701;47.57524929398964, 7.646760647292228
243058704;47.5695779177694, 7.672917391882902
243058712;47.586275443882776, 7.64998051861391
243058717;47.56423890332898, 7.636276331874248
243058720;47.572148842242555, 7.574757452725453
243058722;47.53410188821493, 7.590589310241393
243058723;47.53390690444422, 7.590532633057479
243058727;47.57619377028041, 7.643498514187894
243058731;47.545671321213796, 7.567633961774167
243058737;47.57250074663923, 7.574541722559556
243058741;47.56891020941099, 7.595854928031655
243058754;47.58763297336416, 7.657178595373523
243058755;47.58725680972471, 7.656499591445414
243058761;47.56253380937321, 7.573998150246953
243058766;47.571398002809374, 7.582827707706948
243058772;47.564920830009, 7.5672557776259906
243058776;47.56416420358931, 7.5665639835024745
243058777;47.56402346352143, 7.566430422687947
243058779;47.56432487834801, 7.566208663332194
243058781;47.56475682148079, 7.566091124846841
243058782;47.56446372046472, 7.565782570506313
243058785;47.57731483858151, 7.596163451665109
243058786;47.58947617888479, 7.663890084438589
243058787;47.54506390379129, 7.60035092163754
243058792;47.548432680390285, 7.622076253596627
243058793;47.54824960364551, 7.622053161068481
243058794;47.5480748064409, 7.622049544760432
243058795;47.55954740771968, 7.568363666809861
243058801;47.569976843952254, 7.572836924240386
243058806;47.587580162553934, 7.660723022194799
243058808;47.5854550469691, 7.66746122411288
243058814;47.559579308318455, 7.614004358262031
243058815;47.56004870413822, 7.614079284409982
243058816;47.58614267781695, 7.661425143754668
243058817;47.546452853904206, 7.586658320669596
243058821;47.57175761166937, 7.5719974546718865
243058826;47.55902882271184, 7.572822722317267
243058827;47.54091090798874, 7.586997466458397
243058828;47.587197259245514, 7.656741572330046
243058829;47.58715211954862, 7.657005679254113
243058831;47.5605382926645, 7.601554538281711
243058844;47.53050649704125, 7.588553726751574
243058845;47.56890539125492, 7.5942783363693165
243058848;47.57423812306493, 7.661759553184874
243058849;47.572395288198436, 7.574671669297312
243058851;47.54107720375448, 7.599285138311043
243058852;47.59361132070239, 7.642594141812304
243058854;47.572803401848766, 7.6498278972319085
243058858;47.54928965652513, 7.579025138043518
243058867;47.57869773132515, 7.646030890273892
243058868;47.57872669073689, 7.646071396044933
243058873;47.57887265580763, 7.646279499297289
243058877;47.57662858742353, 7.6427359506334716
243058878;47.57643446536376, 7.642732190233697
243058880;47.56995157499107, 7.659897291033482
243058883;47.56644612138676, 7.672901002464983
243058889;47.55954608982191, 7.573273551123582
243058891;47.568055666677, 7.599080106437228
243058893;47.5258260448563, 7.59093389214612
243058895;47.5546089014871, 7.610894611739947
243058896;47.54520791918094, 7.611708538118632
243058900;47.56322720004024, 7.562226484146413
243058902;47.56991461087398, 7.5738778144705705
243058903;47.55843663212709, 7.573950584644778
243058904;47.55830823689088, 7.573469755939456
243058904;47.55818850267409, 7.573454838849106
243058904;47.55827897968532, 7.573439163225965
243058904;47.558246175440274, 7.573403818353263
243058904;47.558312366154915, 7.573694213987388
243058904;47.558247735355636, 7.573625917948948
243058904;47.55818830442837, 7.57356406581948
243058904;47.55841216417455, 7.573807533887769
243058916;47.534121115865894, 7.585091049081379
243058918;47.53166893984783, 7.58946564267724
243058921;47.54605919684408, 7.5595273066222095
243058923;47.577551115783784, 7.6443445107398995
243058928;47.58653549333526, 7.650935520173924
243058929;47.53117022414246, 7.593414609711128
243058933;47.55981322836757, 7.613931265649469
243058938;47.56481863120888, 7.636740919193604
243058943;47.57668549479403, 7.646806448023391
243058945;47.58637540330016, 7.663326182484038
243058946;47.58637035763579, 7.663372874528208
243058947;47.58635714585314, 7.6635172525321815
243058948;47.58635176979085, 7.6635673329863305
243058952;47.58631556045009, 7.6639629534982925
243058953;47.5863023065581, 7.664119401505743
243058955;47.586199711109714, 7.662986445156988
243058959;47.58608902312926, 7.663519217943256
243058961;47.586048918858594, 7.663840921984146
243058963;47.58599363327585, 7.664106476423215
243058964;47.585982587367326, 7.664158406838942
243058966;47.58596118460298, 7.664491195977633
243058968;47.585991290572515, 7.662963899102809
243058969;47.58594217948688, 7.663092797621484
243058970;47.585918839449924, 7.663182150411625
243058974;47.58579948584768, 7.663721543323081
243058975;47.585815080129045, 7.663907835789135
243058981;47.58302033710555, 7.643672211621973
243058992;47.57858854348863, 7.645897137997813
243058993;47.578559323767514, 7.645856312418871
243058994;47.57853032820971, 7.645815859918906
243058999;47.589193108843595, 7.659476170818474
243059001;47.57726151691165, 7.6503939597847
243059003;47.57186837431836, 7.635081006265154
243059005;47.56907791772704, 7.650858486728562
243059007;47.57102327451819, 7.667795392137793
243059008;47.53917986477405, 7.5874066489004415
243059009;47.55142420376559, 7.587811365541316
243059014;47.56166979114556, 7.572815892926752
243059018;47.55337447335271, 7.5736245446725645
243059019;47.57812884769877, 7.6420385930829395
243059021;47.5591455599937, 7.574146364411957
243059027;47.57186941262287, 7.651998695070099
243059032;47.544547311196304, 7.591737211148319
243059035;47.559159543154294, 7.580597064257774
243059036;47.54768571316991, 7.572459181284596
243059042;47.57200623102773, 7.647543662459417
243059049;47.533211551089295, 7.596204150123473
243059051;47.54779975015682, 7.581915910147001
243059053;47.59249474366588, 7.65579686116114
243059056;47.555307299998894, 7.571950807434706
243059057;47.547951234313544, 7.561923773896753
243059058;47.575222418966604, 7.59411802237624
243059063;47.564113281484495, 7.589839992187742
243059064;47.56421459567788, 7.590303787973094
243059067;47.58296691446787, 7.656509604703969
243059068;47.582871858930346, 7.6570525913452565
243059080;47.54780983365044, 7.593644154235211
243059081;47.54428910312585, 7.59152245661641
243059082;47.569051699077626, 7.617187053237744
243059084;47.57274776693742, 7.666305031071177
243059088;47.59408121590523, 7.655890812842476
243059089;47.55158375673848, 7.620969228120528
243059091;47.55010033648293, 7.622084471305987
243059094;47.5603237041979, 7.60166897482932
243059097;47.56610651743711, 7.586788430817381
243059098;47.53375211434638, 7.6073614945982255
243059100;47.54456745826112, 7.594450094588224
243059102;47.54452916862834, 7.593832536627285
243059108;47.562875524853894, 7.59853699374973
243059108;47.56309359384514, 7.598348005839384
243059110;47.57059983814278, 7.598111081333488
243059111;47.570483178367944, 7.59794200950011
243059114;47.56922717567035, 7.639888072590568
243059119;47.5687716694634, 7.639509116184214
243059129;47.586657628211924, 7.659143915563052
243059132;47.54532653470815, 7.600049962868441
243059136;47.57023427123239, 7.570150451415971
243059138;47.56805408885305, 7.615561673190868
243059143;47.58205933462295, 7.662598468930076
243053132;47.571205924588575, 7.575190140638637
243053132;47.57117276051389, 7.575209232843067
243053132;47.5714288145777, 7.575290396433877
243053132;47.57109462727223, 7.575941464488277
243053132;47.5711188671785, 7.575618508893835
243053134;47.550278685958624, 7.567774360345475
243053137;47.57416792206898, 7.561033682763563
243053139;47.57439704495822, 7.562092858283416
243053140;47.57410103840651, 7.562430574428878
243053145;47.53838838728488, 7.597499328300735
243053149;47.538203422606465, 7.597636493019342
243053150;47.54637843572935, 7.61088719196949
243053157;47.546789960412305, 7.584703345248908
243053163;47.556143645170344, 7.616537343604205
243053169;47.57379915023854, 7.560211325123728
243053170;47.57290885648013, 7.561158717769663
243053183;47.57438000834139, 7.580297295236343
243053189;47.57116689416418, 7.628725229495905
243053194;47.56504987799664, 7.589929575085766
243053198;47.56938104764659, 7.592845419097495
243053199;47.56150435339894, 7.580682885325115
243053200;47.561537944216525, 7.581874520996597
243053204;47.569624956313426, 7.600272950762309
243053205;47.569921506423775, 7.600291656570058
243053209;47.569662096807, 7.601727774170055
243053210;47.56944255042046, 7.601754399337722
243053210;47.56944255042046, 7.601754399337722
243053211;47.569343213549075, 7.6010149371762115
243053217;47.57202213905388, 7.56616729499022
243053219;47.572537632585885, 7.565570608252187
243053220;47.57204323237416, 7.567645696592043
243053225;47.570760531911965, 7.563093005380737
243053226;47.57008446828163, 7.56427625907887
243053230;47.57268509160004, 7.563848026257107
243053232;47.572832462866494, 7.563553371908919
243053233;47.572925041974194, 7.564108555587011
243053235;47.57278612936666, 7.5637615320256995
243053237;47.57307478527616, 7.565565703832178
243053238;47.57233112236741, 7.563272832792256
243053246;47.57530308434549, 7.580739798039762
243053247;47.575188141742785, 7.580365665928127
243053248;47.57546778452005, 7.580022669905774
243053250;47.56882774129474, 7.588770695427314
243053251;47.5828788302611, 7.6473065839773104
243053257;47.58248584001066, 7.666159666067707
243053258;47.57095277839557, 7.582661116707845
243053263;47.52459080146638, 7.590819327893568
243053269;47.58327620203831, 7.662688804518919
243053271;47.56775058329732, 7.6479272427947
243053273;47.55564618363034, 7.58142515790796
243053274;47.539114736409616, 7.608188355484174
243053277;47.538704350427864, 7.602655865579256
243053288;47.56527483892208, 7.588662015482443
243053290;47.56776121790762, 7.647644764205227
243053294;47.564663503175375, 7.55711710711191
243053297;47.57510509526568, 7.593659725058264
243053298;47.575354543364305, 7.593226627665202
243053300;47.57570372142701, 7.593234403884889
243053301;47.57503036932001, 7.593434497829603
243053302;47.575041146312444, 7.592549533026331
243053303;47.523331776600415, 7.595031725313221
243053305;47.52370701374633, 7.59556276628122
243053306;47.5237987900428, 7.595293230942009
243053308;47.52342764573772, 7.595643816107726
243053309;47.52350220198656, 7.596018918506067
243053323;47.5529783415106, 7.591750313292853
243053324;47.55240386564264, 7.592071876020544
243053324;47.55266273073709, 7.591608175438239
243053328;47.58506711288684, 7.6552964192073265
243053330;47.55005013733009, 7.584371235516556
243053331;47.52329596920128, 7.596001913094332
243053333;47.576834835099994, 7.598280525942578
243053338;47.57724509312845, 7.5980353480129965
243053342;47.560052740983025, 7.575722214657656
243053344;47.57694826322735, 7.594351191245045
243053351;47.55340686866832, 7.588825063540715
243053352;47.530230045465274, 7.591000438697634
243053359;47.562437701785, 7.621036861806181
243053361;47.57994183652801, 7.654042158601174
243053362;47.57089892740017, 7.573798029993286
243053362;47.57089153589482, 7.573688172931668
243053362;47.57087178648316, 7.573555400047472
243053362;47.570386666732134, 7.573850915335095
243053362;47.570541724770514, 7.5740620923199495
243053362;47.5706657882623, 7.573879808725277
243053362;47.57048666471745, 7.57351146277009
243053363;47.57025435728557, 7.57348856347528
243053364;47.57008363079907, 7.573262133498659
243053365;47.5571505756761, 7.581688258198773
243053370;47.572083159057804, 7.648983925112278
243053379;47.5680386898319, 7.650302979373998
243053385;47.556860566272306, 7.5759861250922045
243053399;47.58504840180925, 7.655037658300137
243053401;47.54700163684211, 7.582963984855574
243053402;47.555336930212725, 7.5893857659939306
243053402;47.5554382294595, 7.5897239607448
243053408;47.58868064353665, 7.664128060655641
243053413;47.56567538961715, 7.565127191075324
243053416;47.56509737873449, 7.566426770902687
243053421;47.595344900742994, 7.654901020470612
243053423;47.574381867741025, 7.581398254858049
243053429;47.56256585888924, 7.560599630011266
243053430;47.56284032194721, 7.5604081310877405
243053431;47.562653606338706, 7.561956206020421
243053433;47.56323941591023, 7.561721979980195
243053434;47.563136210338094, 7.561048909881817
243053437;47.56204963169987, 7.562442406295322
243053440;47.561224255812974, 7.56120275725965
243053443;47.57365739068613, 7.56937518796606
243053446;47.58318369191988, 7.644790901033826
243053447;47.561987818371634, 7.596245959818122
243053449;47.55927068316421, 7.602872428216238
243053450;47.55935556116556, 7.602869460702504
243053455;47.57487947865998, 7.594745694678209
243053458;47.57434354414734, 7.594625736000411
243053463;47.57391446007373, 7.595286447476767
243053464;47.59482759045322, 7.655175149714511
243053465;47.58065164680418, 7.647352094467307
243053466;47.58060855221599, 7.647219922436514
243053472;47.573923820704806, 7.592437583358264
243053474;47.574878754638235, 7.591977662797739
243053475;47.54413364036263, 7.593839317256041
243053477;47.54434357292975, 7.585420338559309
243053478;47.544473595955154, 7.584948220586543
243053479;47.57117245437322, 7.573749669791554
243053479;47.57106957824014, 7.573007569624099
243053479;47.57136201009115, 7.574450383201404
243053480;47.57177031907186, 7.5723124280171605
243053492;47.57351803737024, 7.5975712591236
243053495;47.57330197289707, 7.597201680081571
243053501;47.572986314282865, 7.5976229957322525
243053502;47.572699527320275, 7.59756099402214
243053506;47.57232119056459, 7.596641093852338
243053510;47.585845519542275, 7.596938948906297
243053513;47.56090948718534, 7.606385886499549
243053517;47.555426607023335, 7.585789178841681
243053534;47.546285899031034, 7.610947824444683
243053538;47.54899918082624, 7.5996952343930415
243053540;47.57115415057063, 7.630719617046601
243053541;47.571051469813085, 7.630844781075288
243053542;47.57086496945115, 7.6310722645028655
243053543;47.570762306289126, 7.63119742723182
243053550;47.56899895726275, 7.578392423940146
243053552;47.579498622048575, 7.651690436114031
243053556;47.542163643495954, 7.5987956562926255
243053568;47.57695069298398, 7.592895636548304
243053574;47.57522166461637, 7.644820630373447
243053576;47.57122141447887, 7.597627294108267
243053576;47.57134717687056, 7.5976509921360105
243053581;47.56409506108928, 7.605120448670957
243053583;47.563846438118205, 7.604976151317598
243053586;47.56347584302532, 7.604256555240468
243053589;47.58204694715619, 7.6514915626621685
243053592;47.54512731766727, 7.605201836482537
243053600;47.58930999707148, 7.660437442449334
243053610;47.563583450521875, 7.600624694020221
243053610;47.563996971235554, 7.599918901914539
243053610;47.563759639247515, 7.599584926801822
243053610;47.56336504794503, 7.599871947316119
243053622;47.54517355867525, 7.585673603686197
243053628;47.547082843948836, 7.5738233741971435
243053633;47.56059457054804, 7.600208191342387
243053637;47.56500190055053, 7.606596743338929
243053644;47.56786071998497, 7.592523517971422
243053650;47.558630809213135, 7.578018993308482
243053651;47.56072455547697, 7.570517321550594
243053659;47.58161098361124, 7.595142631782062
243053659;47.58170483257425, 7.59520947479566
243053662;47.55419302873198, 7.595368687497864
243053664;47.59013701054981, 7.653892234938447
243053668;47.567908723167534, 7.616689174862586
243053671;47.56794336326691, 7.616750379345085
243053677;47.56820995118695, 7.6172224680223275
243053681;47.568264100611316, 7.600843562488523
243053685;47.55331947703783, 7.571382983703463
243053688;47.55218111968014, 7.57962957133235
243053689;47.55209768171224, 7.579475764753863
243053693;47.578549316135444, 7.588629590471351
243053702;47.57835613027906, 7.59070028145955
243053703;47.56466979498492, 7.578197419444326
243053704;47.58859135156434, 7.67119901377555
243053711;47.58936161635938, 7.657245192198501
243053714;47.52426787485361, 7.590214581791217
243053718;47.57457299617156, 7.587523136182545
243053722;47.574626395049194, 7.589750576612423
243053727;47.586787913287964, 7.662272012257358
243053732;47.56856776981503, 7.60177343998671
243053736;47.56329137352391, 7.559734516402089
243053738;47.547095779254036, 7.592159097814987
243053742;47.5449651155602, 7.583550830508527
243053743;47.586251124747584, 7.58915511914188
243053744;47.55440899263421, 7.60400413919611
243053749;47.53194253054679, 7.596411994653725
243053751;47.53113125458979, 7.595691701580917
243053752;47.53248375855671, 7.596923637084133
243053756;47.59385423961383, 7.658712944959998
243053757;47.59421427176805, 7.6586039606233305
243053758;47.594248615881526, 7.659028480366601
243053760;47.59355366786337, 7.658586900174977
243053761;47.593675550113055, 7.658500917422994
243053765;47.56281880432197, 7.590747960000512
243053766;47.55337291172602, 7.582008440684605
243053767;47.54281586221063, 7.592306612943295
243053769;47.55410728078118, 7.615670258996752
243053770;47.56180049419565, 7.561320527709818
243053772;47.5597509640238, 7.579556831773944
243053775;47.57441361806173, 7.648004364002211
243053780;47.55103797861404, 7.57715309398265
243053797;47.557939314110094, 7.603222971047625
243053800;47.57359489624263, 7.615248166548795
243053802;47.57365985727102, 7.6160296510786605
243053803;47.57403782151338, 7.61589072113727
243053804;47.57307364624439, 7.617114582435632
243053807;47.57368795934639, 7.617273410301472
243053808;47.57373110044554, 7.617462011300397
243053818;47.57012578848295, 7.661275834865182
243053819;47.52848114274762, 7.5940501991639335
243053824;47.53977502772768, 7.588579228914851
243053826;47.53972637489378, 7.588765050593276
243053827;47.56102041537775, 7.586516446630798
243053830;47.586651326574135, 7.594027875337455
243053837;47.580990995055174, 7.639630228541721
243053840;47.57936243819445, 7.604889693691486
243053842;47.58012597816381, 7.604734816451731
243053850;47.57201993120266, 7.559283661628132
243053854;47.546625956098765, 7.569594598044769
243053858;47.56465304591807, 7.5961636955725655
243053860;47.5647069417901, 7.5959331875803695
243053867;47.5453949718475, 7.59208087286533
243053873;47.56854209518197, 7.593627179530017
243053875;47.55979205741931, 7.600599025343293
243053884;47.58351678965267, 7.648076168002116
243053890;47.57095635847276, 7.663482672495227
243053894;47.57312141917726, 7.61155240235909
243053897;47.573420112369504, 7.611301161918544
243053904;47.535109382714666, 7.600982009711398
243053905;47.575868810835395, 7.592267163305635
243053911;47.54209059805643, 7.595034532626234
243053912;47.559706826428474, 7.592636647843912
243053919;47.5682705880445, 7.59591390758496
243053923;47.54912331207875, 7.595610524588488
243053932;47.588560438634765, 7.663758881441514
243053938;47.54610744918889, 7.5567949735014
243053941;47.57027554771313, 7.57606163555296
243053942;47.57051917418542, 7.57621721760083
243053943;47.5631320492116, 7.588677867319003
243053946;47.544810737490344, 7.591065963179625
243053948;47.57304919377422, 7.639042789240014
243053950;47.5576033149818, 7.566899707541146
243053956;47.5938472567648, 7.658714950298651
243053957;47.5801282748198, 7.649717880564334
243053962;47.58513084307793, 7.6653154682544695
243053963;47.54732796773992, 7.603310702496622
243053967;47.53603451938647, 7.605720259601494
243053981;47.58792867071664, 7.660739696705264
243053982;47.57231145069127, 7.664517233925092
243053985;47.575747109374284, 7.659607162969571
243053986;47.58460024418122, 7.656725982050471
243053998;47.574645224699125, 7.59345439329712
243053999;47.573986696815645, 7.592702229367102
243054001;47.57257515491703, 7.640302549368195
243054003;47.5679540616509, 7.635422633045358
243054006;47.56808712314771, 7.635406924983841
243054007;47.568130913256056, 7.635401757739636
243054010;47.56792509213704, 7.635039674150764
243054011;47.56797058548478, 7.635032466407417
243054013;47.56805783880184, 7.635018635133
243054014;47.5681012450582, 7.635011751889231
243054016;47.56818850736233, 7.634997920579816
243054022;47.57512121659794, 7.58154030117373
243054026;47.57410249377383, 7.582804840286698
243054028;47.57475304091374, 7.582718599696741
243054034;47.5511412059263, 7.598238086983022
243054034;47.55103980091232, 7.5980939114979025
243054041;47.59559841460925, 7.647059762284735
243054042;47.59555964162138, 7.646854496489649
243054047;47.59513772772039, 7.643347481255479
243054051;47.59547670464968, 7.647516062184786
243054052;47.59529830066102, 7.647564796192087
243054054;47.594265425201, 7.645410018451222
243054062;47.591933175242644, 7.643744492194035
243054066;47.59141260141327, 7.647515670392483
243054067;47.59197148646812, 7.652932763439611
243054072;47.59403989969328, 7.654168117639048
243054076;47.594937844750795, 7.653621564269077
243054083;47.594888635616726, 7.656204479079205
243054091;47.59426229244707, 7.657480691989414
243054099;47.59128552470981, 7.664203528522134
243054101;47.59081219088416, 7.664480976497972
243054105;47.56005782325238, 7.601153588723149
243054106;47.592621631304084, 7.654240820100339
243054112;47.59183522801905, 7.653812999542305
243054117;47.591501015568106, 7.6543911687224995
243054122;47.59293062449055, 7.657422718330769
243054129;47.58973904980743, 7.653858760426341
243054132;47.58968978675203, 7.65315979873066
243054138;47.588725220930435, 7.652752971243458
243054143;47.58923019695662, 7.6548253602590615
243054145;47.5891756356657, 7.654905967517822
243054146;47.58898060117257, 7.654929251435036
243054149;47.57409623901267, 7.610437667190558
243054162;47.558023489563666, 7.577347896348781
243054163;47.5864911260569, 7.651168033085757
243054167;47.58714292036443, 7.651154693994889
243054171;47.58855684510392, 7.658701747676572
243054173;47.588507751752196, 7.6588380744960824
243054174;47.58851539395239, 7.658882122609218
243054175;47.58892697498978, 7.657501726758247
243054176;47.58938069222825, 7.657465170552149
243054179;47.589032897308, 7.659844898047141
243054180;47.58923603530366, 7.661020829977166
243054183;47.58973543519364, 7.663482632661392
243054186;47.585134345981814, 7.66744546313714
243054201;47.56222815169249, 7.641104241973728
243054202;47.56248089345028, 7.641656632855655
243054205;47.56190655207064, 7.641611261953536
243054208;47.56163205395403, 7.64110038386599
243054218;47.56685579649689, 7.563647737395525
243054219;47.57066012844093, 7.563604670592157
243054222;47.57052350591094, 7.625467286429398
243054225;47.576651255668956, 7.6503466110811775
243054230;47.59008661349318, 7.65592351152795
243054232;47.57521422545065, 7.6395809347241705
243054232;47.575149106202545, 7.639703601346928
243054233;47.552917322947, 7.58276109335341
243054241;47.56473883205686, 7.564017125334146
243054243;47.56381682297974, 7.62434435903607
243054262;47.53988149868896, 7.592447924376393
243054265;47.542246110928154, 7.595234343739786
243054267;47.55767884413348, 7.578257124570413
243054268;47.574921201956464, 7.635357934782548
243054272;47.59213316238982, 7.655425960827707
243054276;47.54698439615624, 7.560321470941242
243054280;47.56002352844423, 7.601012922565357
243054283;47.553732282108975, 7.5737783485889
243054285;47.568769964773665, 7.587487926907942
243054286;47.526446563008825, 7.593019237032195
243054287;47.555037874760956, 7.572335763565661
243054288;47.57260414387706, 7.637035358178451
243054291;47.54838206450278, 7.605735140080768
243054292;47.55388935285593, 7.582845034925256
243054295;47.56055321070215, 7.570697070374654
243054301;47.5886482706403, 7.649029289293997
243054304;47.58715891304922, 7.650175957212776
243054307;47.58717982824907, 7.646533822585207
243054309;47.586559692852035, 7.646798456794743
243054310;47.586057900662794, 7.648182227679992
243054312;47.589458242550464, 7.655954051190208
243054315;47.5892596428037, 7.655718997003584
243054325;47.58654070097664, 7.652766777639591
243054334;47.585971761374914, 7.653504281269101
243054340;47.58576245392105, 7.655896636180875
243054353;47.58625093063426, 7.65660146665566
243054361;47.5864033319173, 7.658331055653984
243054364;47.58553422279658, 7.6578530742324
243054369;47.5874125882794, 7.661036242182732
243054370;47.58756367830036, 7.661277889400054
243054371;47.587478611815136, 7.661407148087129
243054372;47.58743132498517, 7.661725482020455
243054381;47.58426096406808, 7.659853689507602
243054384;47.58361766662016, 7.659578382888394
243054388;47.58312253320632, 7.659500534595144
243054390;47.58253290704168, 7.661224151485449
243054395;47.58181991114685, 7.6568050421490295
243054396;47.581531228210075, 7.657176322877925
243054398;47.581107671044876, 7.65686489126335
243054400;47.58103006233054, 7.65695723295715
243054401;47.581013113459484, 7.656978962624451
243054403;47.580938825075734, 7.655999187950159
243054406;47.56973138438233, 7.603650455472837
243054406;47.57039555646914, 7.602633473121961
243054406;47.570193007333295, 7.603730449877739
243054406;47.56977550599942, 7.603454494867411
243054406;47.56992083659791, 7.603096995210598
243054406;47.569888682649925, 7.6029195366377165
243054406;47.569991332933505, 7.602737097321596
243054406;47.570273935093596, 7.602217339479432
243054406;47.57019647450453, 7.602593405083131
243054406;47.56987506525411, 7.603982043358136
243054406;47.570264295243824, 7.602472413837042
243054406;47.569941966809, 7.603914102855491
243054406;47.57007673565832, 7.6035598265912085
243054408;47.580057132290854, 7.657672152291289
243054412;47.579135317389756, 7.658172715309219
243054413;47.579067975969885, 7.657397308180877
243054417;47.578815979824725, 7.659389215385924
243054418;47.57827790223102, 7.658431369774577
243054420;47.57825160358597, 7.657444078409709
243054422;47.56297264505092, 7.573013202631795
243054425;47.57359611377827, 7.629250190176532
243054427;47.573341351064876, 7.629403020604964
243054429;47.57326599485547, 7.629451246914229
243054433;47.57362762891424, 7.63004983298546
243054438;47.573434439169354, 7.630217101439464
243054452;47.5740786390952, 7.634487387988561
243054454;47.57348101812805, 7.63474873821544
243054462;47.57626300070393, 7.635414096267238
243054466;47.57561205874937, 7.6351301947415235
243054470;47.575416951918406, 7.636271269276438
243054475;47.55760646919337, 7.5998301086645395
243054482;47.55408859845606, 7.604738067358572
243054487;47.57203452994908, 7.602288454517449
243054497;47.526822492993816, 7.592505075450236
243054536;47.570600181253866, 7.637586246884409
243054542;47.56968205140346, 7.637095515423506
243054543;47.56912546318249, 7.636976379373274
243054548;47.56920735081441, 7.638149985647503
243054551;47.56973631910715, 7.637922166440493
243054562;47.56952328836551, 7.576374509384241
243054565;47.59365266284223, 7.655034880986025
243054567;47.59281645424344, 7.655546403325452
243054569;47.58690260861616, 7.653502079893674
243054576;47.55653631654822, 7.5859177883954
243054583;47.566387836394426, 7.599525253150253
243054589;47.575932674434526, 7.588046001568938
243054591;47.575731631823416, 7.588360018819966
243054606;47.5694564415845, 7.638327664741032
243054607;47.569322779855895, 7.638697946299453
243054612;47.568958623212474, 7.638185347418984
243054616;47.568768649240205, 7.639242193830073
243054622;47.57101535489943, 7.643099459016914
243054629;47.57102727123906, 7.643432144353162
243054637;47.56975772480208, 7.644001099720198
243054643;47.5698287011635, 7.6447500944596
243054646;47.56942839966166, 7.645601835289541
243054652;47.567620977472544, 7.645319115313932
243054664;47.57300529590398, 7.6467605898022875
243054667;47.57332247357053, 7.646732084848324
243054673;47.57523561678304, 7.6468951754431265
243054674;47.575016631691064, 7.645673960050782
243054676;47.57597297358313, 7.646920119618576
243054677;47.57637387687225, 7.647246119189765
243054688;47.579691725039474, 7.648362858911204
243054697;47.57974703344107, 7.646655303162008
243054700;47.57947418024676, 7.64506568732184
243054702;47.57992872034024, 7.645425544185176
243054707;47.58037831265331, 7.645066544351105
243054721;47.581244136359054, 7.646439685789478
243054745;47.58059794543327, 7.648357918571417
243054750;47.57965847809833, 7.65008627610297
243054759;47.57790193683119, 7.649786284881848
243054766;47.577774058847105, 7.651650179788191
243054770;47.56788628226985, 7.58710540322616
243054774;47.58113830920171, 7.595286143466866
243054776;47.57634952158011, 7.651055137105619
243054778;47.57580945391098, 7.650846298540599
243054780;47.5763392707029, 7.650165252408272
243054781;47.57579082206766, 7.650657095775938
243054784;47.57567776025476, 7.651549947613418
243054789;47.578995450950345, 7.654124170155972
243054790;47.578987238170924, 7.653653333886128
243054800;47.57755080388374, 7.653180389172501
